epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2305.01,1.02958,0.67789,1.19225,0.85302,0.85823,0.88396,0.5324,1.42409,0.75958,1.47595,0.0006238,0.0006238,0.0006238
59,2593.32,1.02118,0.67612,1.19489,0.90649,0.83023,0.88568,0.53604,1.42642,0.75081,1.49538,0.0006172,0.0006172,0.0006172
60,2880.95,1.01674,0.6706,1.19394,0.86495,0.84634,0.88684,0.53775,1.41651,0.76734,1.48431,0.0006106,0.0006106,0.0006106
61,3168.32,1.01757,0.65712,1.18972,0.88809,0.83767,0.88924,0.54242,1.40912,0.75037,1.46919,0.000604,0.000604,0.000604
62,3455.76,0.99098,0.66244,1.1763,0.89158,0.83157,0.89188,0.53709,1.42487,0.7458,1.49412,0.0005974,0.0005974,0.0005974
63,3743.08,0.98956,0.63963,1.16963,0.89479,0.8477,0.89225,0.54006,1.41628,0.75626,1.48779,0.0005908,0.0005908,0.0005908
64,4030.21,0.98175,0.64233,1.1669,0.87838,0.84161,0.88853,0.53917,1.42014,0.73001,1.48563,0.0005842,0.0005842,0.0005842
65,4318.03,0.98798,0.64821,1.16852,0.88794,0.84769,0.89372,0.54273,1.40623,0.73093,1.48648,0.0005776,0.0005776,0.0005776
66,4605.24,0.97904,0.63608,1.16221,0.88687,0.83069,0.88755,0.54571,1.40468,0.7335,1.47372,0.000571,0.000571,0.000571
67,4892.67,0.97071,0.63226,1.14971,0.91454,0.83039,0.89168,0.54034,1.4122,0.75821,1.47667,0.0005644,0.0005644,0.0005644
68,5179.77,0.95847,0.61954,1.15413,0.90839,0.8404,0.88649,0.53604,1.41461,0.73205,1.49555,0.0005578,0.0005578,0.0005578
69,5466.95,0.95042,0.62113,1.15243,0.90417,0.83376,0.88251,0.53316,1.41267,0.74581,1.50121,0.0005512,0.0005512,0.0005512
70,5754.44,0.95657,0.62326,1.14839,0.89195,0.83338,0.88572,0.53833,1.42455,0.73278,1.50992,0.0005446,0.0005446,0.0005446
71,6041.92,0.94192,0.60877,1.14571,0.88003,0.84842,0.88768,0.53895,1.42439,0.72481,1.5182,0.000538,0.000538,0.000538
72,6329.55,0.95087,0.6084,1.14778,0.88624,0.8426,0.88312,0.54066,1.4103,0.71825,1.51022,0.0005314,0.0005314,0.0005314
73,6616.76,0.94166,0.60716,1.14005,0.87118,0.85931,0.88758,0.541,1.41562,0.71117,1.50827,0.0005248,0.0005248,0.0005248
74,6903.86,0.93972,0.60844,1.14463,0.87512,0.84523,0.88461,0.54077,1.41525,0.72013,1.51974,0.0005182,0.0005182,0.0005182
75,7190.97,0.93933,0.59318,1.14518,0.8641,0.85033,0.88373,0.53985,1.42741,0.73203,1.53078,0.0005116,0.0005116,0.0005116
76,7478.28,0.9248,0.59523,1.13136,0.87411,0.83951,0.8844,0.54014,1.42638,0.72868,1.52771,0.000505,0.000505,0.000505
77,7765.87,0.93072,0.60317,1.13914,0.8984,0.82161,0.88484,0.53701,1.4258,0.72208,1.52398,0.0004984,0.0004984,0.0004984
78,8053.28,0.91308,0.58843,1.13655,0.8824,0.83265,0.88471,0.53826,1.42251,0.73,1.52932,0.0004918,0.0004918,0.0004918
79,8341.3,0.91342,0.58913,1.13708,0.88413,0.84554,0.88572,0.54345,1.40747,0.73105,1.52004,0.0004852,0.0004852,0.0004852
80,8629.54,0.9024,0.57467,1.12191,0.89393,0.84344,0.88796,0.54405,1.40825,0.74066,1.51949,0.0004786,0.0004786,0.0004786
81,8917.43,0.89384,0.5697,1.11314,0.9167,0.82443,0.88377,0.54386,1.40415,0.73433,1.51723,0.000472,0.000472,0.000472
